,,,,,,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
L1,,2.2uH,IND-SMD_L2.5-W2.0_MHCHL2520,,Select by System,FTC252012S2R2MBCA,cjiang (Changjiang Microelectronics Tech),1008,2.2uH 3.8A 3A 55m? ±20% 1008 Power Inductors ROHS,Power Inductors,,C5832372,https://jlcpcb.com/partdetail/6763492-FTC252012S2R2MBCA/C5832372,Extended,6,6 JLCPCB,0.204
L2,,HCB2012KV-600T30,L0805,,Select by Customer,GZ2012D101TF,Sunlord,0805,1 100?@100MHz 150m? 800mA ±25% 0805 Ferrite Beads ROHS,Ferrite Beads,,C1015,https://jlcpcb.com/partdetail/Sunlord-GZ2012D101TF/C1015,Basic,20,20 JLCPCB,0.616
"R1,R2,R18,R19",,50m?,RES-SMD_L6.4-W3.2-R2512,,Select by System,RE2512F3R050,jieerrui,2512,3W 50m? Alloy Resistor?Current Sense Resistor SMD ±1% ±50ppm/? 2512 Current Sense Resistors / Shunt Resistors ROHS,Current Sense Resistors / Shunt Resistors,,C46961759,https://jlcpcb.com/partdetail/jieerrui-RE2512F3R050/C46961759,Extended,10,10 JLCPCB,0.991
"R3,R6,R9,R17,R20",,10k?,R0805,,Select by Customer,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55?~+155? 10k? 125mW 150V Thick Film Resistor ±1% ±100ppm/? 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,22,22 JLCPCB,0.0748
R7FBB,,10k?,R0603,,Select by Customer,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55?~+155? 10k? 125mW 150V Thick Film Resistor ±1% ±100ppm/? 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,22,22 JLCPCB,0.0748
"R4,R5",,22?,R0603,,Select by Customer,0603WAF220JT5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 100mW 22? 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23345,https://jlcpcb.com/partdetail/24078-0603WAF220JT5E/C23345,Basic,20,20 JLCPCB,0.034
"R7,R8",,5.1k?,R0603,,Select by Customer,0603WAF5101T5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 100mW 5.1k? 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23186,https://jlcpcb.com/partdetail/23913-0603WAF5101T5E/C23186,Basic,20,20 JLCPCB,0.038
"R10,R11,R13,R14,R15,R16",,47?,R0603,,Select by Customer,0603WAF470JT5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 100mW 47? 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23182,https://jlcpcb.com/partdetail/23909-0603WAF470JT5E/C23182,Basic,22,22 JLCPCB,0.0506
R21,,0?,R0603,,Select by Customer,0603WAF0000T5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 0? 100mW 75V Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C21189,https://jlcpcb.com/partdetail/21903-0603WAF0000T5E/C21189,Basic,20,20 JLCPCB,0.036
R8FBT,,52.3k?,R0603,,Select by System,0603WAF5232T5E,UNI-ROYAL(Uniroyal Elec),0603,-55?~+155? 100mW 52.3k? 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C23198,https://jlcpcb.com/partdetail/23925-0603WAF5232T5E/C23198,Extended,20,20 JLCPCB,0.026
"U2,U3",,DRV8313PWPR,HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP,,Select by Customer,DRV8313PWPR,Texas Instruments,HTSSOP-28,-40?~+125? 2.5A 3 800uA Three Phase Yes HTSSOP-28 Brushless DC (BLDC) Motor Driver ROHS,Brushless DC (BLDC) Motor Driver,,C92482,https://jlcpcb.com/partdetail/TexasInstruments-DRV8313PWPR/C92482,Extended,4,4 JLCPCB,8.0116
"U4,U5,U16,U17",,INA240A1D,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,,Select by Customer,INA240A1DR,Texas Instruments,SOIC-8,-40?~+125? -4V~80V 1 1.8mA 132dB 2.7V~5.5V 20V/V 250nV/? 2V/us 400kHz 40nV/?Hz@1kHz 5uV 90uA ±80V SOIC-8 Current Sense Amplifiers ROHS,Current Sense Amplifiers,,C2060769,https://jlcpcb.com/partdetail/TexasInstruments-INA240A1DR/C2060769,Extended,8,8 JLCPCB,8.276
U8,,TPS54331DR,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,,Select by System,TPS54331DR,Texas Instruments,SOIC-8,-40?~+150?@(TJ) 1 110uA 3.5V~28V 3A 570kHz 800mV~25V Adjustable Buck Buck Built-in No SOIC-8 DC-DC Converters ROHS,DC-DC Converters,,C9865,https://jlcpcb.com/partdetail/TexasInstruments-TPS54331DR/C9865,Extended,2,2 JLCPCB,0.7712
U9,,AMS1117-3.3,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,,Select by Customer,AMS1117-3.3,Advanced Monolithic Systems,SOT-223,"-40?~+125? 0.003%Vout 1 1.1V@(800mA) 15V 1A 3.3V 5mA 72dB@(120Hz) Fixed Over Current Protection?Short Circuit Protection?Thermal shutdown Positive SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C6186,https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186,Basic,2,2 JLCPCB,0.394
U10,,STM32F405RGT6,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,,Select by Customer,STM32F405RGT6,STMicroelectronics,LQFP-64(10x10),-40?~+85? 1.8V~3.6V 12bit 12bit 168MHz 192KB 1MB 32 Bit 51 ARM Cortex-M4 Built-in FLASH LQFP-64(10x10) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C15742,https://jlcpcb.com/partdetail/STMicroelectronics-STM32F405RGT6/C15742,Extended,2,2 JLCPCB,8.9236
"U13,U14,U15",,ZX-XH2.54-6PZZ,CONN-TH_6P-P2.50_ZX-XH2.54-6PZZ,,Select by Customer,ZX-XH2.54-6PZZ,Megastar,"??,P=2.5mm","-25?~+85? 1 17.5mm 1x6P 2.5mm 250V 2A 5.9mm 6 6P 7mm Brass PA66 Through Hole Tin UL94V-0 White XH ??,P=2.5mm Wire To Board Connector ROHS",Wire To Board Connector,,C7429636,https://jlcpcb.com/partdetail/Megastar-ZX_XH2_546PZZ/C7429636,Extended,0,0 JLCPCB,0
U18,,XT60-M.,CONN-TH_XT60,,Select by System,XT60-M.,Changzhou Amass Elec,-,-?Banana Connector 3.5mm Male Yellow - Power connector / plug connector,Plug,,C98733,https://jlcpcb.com/partdetail/Changzhou_AmassElec-XT60_M/C98733,Extended,0,0 JLCPCB,0
USB1,,TYPE-C16PIN2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,,Select by System,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,"-25?~+85? 1 16P 3A 5,000 times 5V Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C2765186,https://jlcpcb.com/partdetail/SHOUHAN-TYPE_C_16PIN_2MD_073/C2765186,Extended,3,3 JLCPCB,0.2205
X1,,8MHz,CRYSTAL-SMD_L5.0-W3.2,,Select by Customer,X50328MSB2GI,YXC Crystal Oscillators,SMD5032-2P,-40?~+85? 20pF 8MHz Crystal Oscillator ±10ppm ±20ppm SMD5032-2P Crystals ROHS,Crystals,,C115962,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X50328MSB2GI/C115962,Basic,5,5 JLCPCB,1.337
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Price?36.6283$
